dt,close,sentiment_score
2022-03-03,47.93,0.107207
2022-03-04,48.07,0.027223999999999998
2022-03-07,47.68,0.03735442857142857
2022-03-08,47.5,0.03416593333333333
2022-03-09,47.63,-0.07234071428571429
2022-03-10,46.66,-0.19807275
2022-03-11,45.83,-0.12223657142857143
2022-03-14,44.4,-0.033489
2022-03-15,44.81,0.003586181818181815
2022-03-16,46.63,-0.023395125000000003
2022-03-17,47.14,-0.05357527272727272
2022-03-18,47.45,0.15880899999999998
2022-03-21,47.39,-0.05941118181818183
2022-03-22,48.39,0.120058
2022-03-23,48.27,0.06264216666666667
2022-03-24,51.62,0.029765764705882353
2022-03-25,51.83,0.010713272727272728
2022-03-28,51.51,0.04735625
2022-03-29,52.25,0.05031966666666667
2022-03-30,51.43,0.044615416666666664
2022-03-31,49.56,0.008242600000000004
2022-04-04,49.2,0.020486285714285717
2022-04-05,48.13,0.06382754545454546
2022-04-06,47.54,-0.24437888888888887
2022-04-07,47.56,0.036931375
2022-04-08,47.02,-0.0620155
2022-04-11,46.57,-0.006234538461538462
2022-04-12,46.5,-0.05199842857142857
2022-04-13,47.01,0.07720325
2022-04-14,45.67,0.050123428571428576
2022-04-18,46.64,-0.08097623076923076
2022-04-19,47.93,-0.056641399999999995
2022-04-20,48.11,0.025521625
2022-04-21,47.5,0.046417
2022-04-22,46.54,-0.018932818181818176
2022-04-25,47.06,-0.0034561666666666677
2022-04-26,45.52,-0.0019979999999999998
2022-04-27,45.22,0.0499779
2022-04-28,46.84,0.0032674999999999996
2022-04-29,43.59,-0.22841236
2022-05-02,44.96,-0.08274346666666667
2022-05-03,45.06,-0.12071775
2022-05-04,46.54,0.114262
2022-05-05,44.6,0.008316999999999995
2022-05-06,44.3,0.29427539999999996
2022-05-09,43.07,0.09172033333333333
2022-05-10,44.01,0.012283666666666667
2022-05-11,42.83,0.0230196
2022-05-12,42.84,0.0108185
2022-05-13,43.6,0.11699199999999998
2022-05-16,43.08,-0.008093800000000002
2022-05-17,44.4,0.04520288888888888
2022-05-18,42.35,-0.005873999999999997
2022-05-19,42.01,-0.007743166666666668
2022-05-20,41.65,0.041099
2022-05-23,42.0,0.030280099999999997
2022-05-24,41.67,0.04544975
2022-05-25,42.2,0.06148
2022-05-26,43.48,0.0733535
2022-05-27,44.55,0.0673205
2022-05-31,44.42,0.06995166666666668
2022-06-01,44.11,0.0014550000000000001
2022-06-02,44.84,0.011587000000000004
2022-06-03,43.39,-0.13635999999999998
2022-06-06,43.34,0.022682
2022-06-07,43.53,0.0539736
2022-06-08,41.23,-0.2884312307692308
2022-06-09,40.01,-0.11921572222222222
2022-06-10,39.18,-0.0028324000000000014
2022-06-13,37.77,-0.01452814285714286
2022-06-14,37.93,-0.07985366666666667
2022-06-15,38.65,-0.09105766666666666
2022-06-16,37.34,-0.1380983333333333
2022-06-17,36.97,-0.20456125
2022-06-21,37.73,0.06303025
2022-06-22,37.38,-0.030404000000000004
2022-06-23,37.41,0.03881028571428572
2022-06-24,38.61,-0.09168480000000001
2022-06-27,38.63,0.04869933333333334
2022-06-28,37.78,-0.213763125
2022-06-29,37.29,-0.04229436363636363
2022-06-30,37.41,-0.25460725
2022-07-05,36.69,0.04123125
2022-07-06,36.99,-0.18193985714285713
2022-07-07,38.14,0.06340300000000001
2022-07-08,37.99,-0.09463833333333334
2022-07-11,37.2,0.0855936
2022-07-12,37.21,0.310858
2022-07-13,37.21,0.018088749999999997
2022-07-14,37.71,0.055341428571428576
2022-07-15,38.62,-0.035917
2022-07-18,38.71,0.14477099999999998
2022-07-19,40.22,0.16841050000000002
2022-07-20,40.56,0.116421
2022-07-21,40.61,0.06604744444444445
2022-07-22,39.2,0.060649833333333326
2022-07-25,39.16,0.008981545454545457
2022-07-26,38.96,0.09478707692307692
2022-07-27,40.18,0.04741485714285714
2022-07-28,39.71,0.059254631578947364
2022-07-29,36.31,-0.051516793103448276
2022-08-01,36.96,0.027679266666666667
2022-08-02,36.01,0.06302
2022-08-03,36.52,0.0824914
2022-08-04,35.66,0.07287945454545454
2022-08-05,35.39,0.0853407142857143
2022-08-08,35.38,-0.0067481538461538525
2022-08-09,34.52,0.035903875
2022-08-10,35.37,0.016259125000000003
2022-08-11,35.59,-0.0007494000000000028
2022-08-12,36.11,0.1951438
2022-08-16,36.19,0.07108149999999999
2022-08-17,35.78,0.12470366666666666
2022-08-18,36.2,0.08587342857142856
2022-08-19,35.38,0.07977299999999998
2022-08-22,33.84,-0.15656175
2022-08-23,33.95,0.034675
2022-08-24,33.86,0.11219225
2022-08-25,34.89,0.02048985714285714
2022-08-26,33.36,0.008327999999999999
2022-08-29,32.94,0.08403233333333332
2022-08-30,32.26,0.15232514285714285
2022-08-31,31.92,0.0285026
2022-09-01,31.76,0.00576488235294118
2022-09-02,31.22,0.11432325
2022-09-06,30.36,0.09317600000000001
2022-09-07,30.65,0.2486852
2022-09-08,30.75,0.07185925000000001
2022-09-09,31.46,0.12565379999999998
2022-09-12,31.56,0.078184
2022-09-13,29.29,0.008964249999999995
2022-09-14,29.18,0.10012558333333332
2022-09-15,28.84,0.22899285714285716
2022-09-16,29.24,0.095455
2022-09-19,29.44,0.0026071428571428556
2022-09-20,28.96,0.13269614285714287
2022-09-21,28.47,-0.02772375
2022-09-22,28.07,0.1338435
2022-09-23,27.52,0.283096
2022-09-26,26.97,0.20412762499999998
2022-09-27,26.89,0.13670033333333334
2022-09-28,27.13,0.17490188888888888
2022-09-29,26.38,0.09268425000000001
2022-10-03,26.97,0.10083525
2022-10-04,27.7,0.20186763636363636
2022-10-05,27.64,0.099702875
2022-10-06,27.18,-0.02498
2022-10-07,25.72,-0.030203086956521737
