dt,close,sma2,sma3,sma4,sma5,sma6,sma7,sma8,sma9,sma10,sma11,sma12,sma13,sma14,sma15,sma16,roc2,roc3,roc4,roc5,roc6,roc7,roc8,roc9,roc10,roc11,roc12,roc13,roc14,roc15,roc16,sentiment_score2,sentiment_score3,sentiment_score4,sentiment_score5,sentiment_score6,sentiment_score7,sentiment_score8,sentiment_score9,sentiment_score10,sentiment_score11,sentiment_score12,sentiment_score13,sentiment_score14,sentiment_score15,sentiment_score16,long,short
2022-03-17,1.0,0.8172043010752766,0.3213859020310725,0.0,0.012186379928312513,0.11947431302269367,0.2954429083461275,0.4157706093189913,0.5236957387494977,0.6379928315412158,0.7223851417399775,1.0,1.0,1.0,1.0,1.0,5.199732202633345,6.171171171171186,2.858389701069175,1.0287183883411988,-1.0287633844215827,-0.7578947368421018,-1.1325503355704702,-1.9346785937174982,-1.6482370123096168,0.0,0.0,0.0,0.0,0.0,0.0,-0.03848519886363634,-0.024461405303030297,-0.026718303977272713,-0.045821957467532454,-0.07119708955627704,-0.0713604645176252,-0.0581696647862554,-0.04755587663540164,-0.04007788897186147,-0.026688353610783158,0.0,0.0,0.0,0.0,0.0,1,0
2022-03-18,1.0,0.8898104265402942,0.7322274881516662,0.32997630331754196,0.030331753554503935,0.0,0.06262694651320003,0.19579383886255702,0.28909952606634903,0.3765402843601858,0.47328737613097466,0.545616113744077,1.0,1.0,1.0,1.0,1.7585245550075124,5.891542066503019,6.869369369369371,3.534802531093173,1.6930990141448943,-0.3779130799915986,-0.10526315789473051,-0.4823825503355694,-1.2897857291449877,-1.0014604631754631,0.0,0.0,0.0,0.0,0.0,0.05261686363636361,0.02727953409090907,0.02135619602272726,0.010387156818181805,-0.011716797889610395,-0.03833907676252319,-0.04258928145292207,-0.03406092425444926,-0.02691938897186148,-0.02199726270169226,-0.011230240809884572,0.0,0.0,0.0,0.0,1,0
2022-03-21,0.9746682750301443,1.0,0.9211901889827052,0.7741254523522251,0.3785283474065154,0.05709690390028594,0.0,0.04478287092882781,0.17062056024660893,0.26031363088057624,0.34751617501918985,0.44762766385203284,0.5232439454393565,0.9746682750301443,0.9746682750301443,0.9746682750301443,0.5303351718285887,1.6298520265923155,5.757643383173394,6.734234234234249,3.4038839188304637,1.5645092156022278,-0.5038841066554722,-0.231578947368416,-0.6082214765100624,-1.414603702933226,-1.1266430210723932,0.0,0.0,0.0,0.0,0.04969890909090906,0.015274181818181805,0.00560685511363636,0.0052027204545454465,-0.0012458996212121286,-0.018530281307977736,-0.040973089894480515,-0.04445838149350649,-0.03659595001082251,-0.029873188321526956,-0.025115089294733054,-0.014936467041292052,0.0,0.0,0.0,1,0
2022-03-22,1.0,0.7347480106100879,0.6569407603890401,0.5769230769230784,0.47480106100795794,0.24580017683466154,0.05115574081091503,0.0,0.009136457412316173,0.06790450928381951,0.10971786833856345,0.1525198938992046,0.2046521118139208,0.24403183023872657,1.0,1.0,1.9810326659641664,2.651675859142988,3.774394166845374,7.989288105333636,8.9864864864865,5.585860789875641,3.707672524646388,1.5956330044089917,1.8736842105263163,1.4890939597315356,0.6656958602038632,0.959732943876479,0.0,0.0,0.0,0.03032340909090911,0.07315193939393937,0.04147013636363636,0.028497084090909085,0.024345267045454536,0.016083228896103894,-0.001206746144480516,-0.023080746572871583,-0.028006743344155836,-0.02235468182802046,-0.01737892262806638,-0.013947928579753589,-0.0052940051097711905,0.0,0.0,1,0
2022-03-23,0.9632578077158552,1.0,0.8081241069606031,0.721371708511942,0.6313533374157978,0.5192896509491693,0.28002799405126627,0.06919779546846601,0.002517520582434103,0.0,0.051940099092585144,0.08858950806287687,0.12807951387253538,0.1789869652698843,0.2173913043478297,0.9632578077158552,1.8569318421608028,1.7281348788198203,2.39711497666526,3.5170491100150025,7.721490738674408,8.716216216216232,5.324023565350222,3.4504929275610996,1.3436909510812445,1.6210526315789453,1.2374161073825496,0.41605991262743114,0.7093678280826188,0.0,0.0,0.0913500833333333,0.04109632828282827,0.07052449621212119,0.0457045424242424,0.03418793118686867,0.029816252705627693,0.021903096117424234,0.005887577501202484,-0.014508455248917756,-0.019765933343171973,-0.015271611120129874,-0.011223454220779229,-0.008477207490723577,-0.0007649269913420048,0.0,1,0
2022-03-24,1.0,0.6257363396303084,0.5099194258243623,0.3961507211050179,0.3305707901685966,0.2753063849955981,0.21955253765125746,0.12690432663010265,0.04466562845599878,0.010826731667681048,0.0,0.009039203737558128,0.014453350833606472,0.021966861089346028,0.03428803575055826,0.04311395490554435,6.67493283736309,8.925933741295623,8.788198103266588,9.50360627916842,10.70126527986275,15.197500557911159,16.26126126126126,12.633646083351513,10.630090012858972,8.377073273147161,8.6736842105263,8.263422818791932,7.385063449136675,7.6987273106613685,0.0,0.046203965686274454,0.07082197712418296,0.03826368738859179,0.0623727499108734,0.04304807947118239,0.03355619311815634,0.02980994170565952,0.02277672596058623,0.008275396221670473,-0.010483526162117746,-0.015638291839084124,-0.011807197595052015,-0.008295652868874834,-0.005927676010949851,0.0011432412397345143,0,1
2022-03-25,1.0,0.9755529685681048,0.707411719053162,0.5803259604190927,0.45750873108265394,0.3779588668994947,0.31082654249126784,0.24563445867287403,0.1478463329452833,0.060069848661231384,0.018520478357499526,0.0,0.0017014417480072494,0.0009978380176285107,0.0031819945673261054,0.010768335273574068,7.3751812720115995,7.108906798925396,9.369065203629457,9.23076923076922,9.949087823504454,11.151619129315883,15.666145949564815,16.734234234234236,13.091861226270996,11.08015430775826,8.817971866470709,9.11578947368421,8.703859060402674,7.82192635739547,8.136866263300636,0.020239518716577504,0.03437373469994053,0.05579480102495542,0.03275360445632797,0.05376283704693995,0.038428821364909584,0.030700828069295884,0.027688089596949864,0.021570380637254884,0.008497021358543407,-0.008717126254668547,-0.01361124841090283,-0.010198592572028818,-0.007028391162464998,-0.004887616714810942,0,1
2022-03-28,0.9586963536624691,1.0,0.9956975368398374,0.7773475314617613,0.6525330751855417,0.5262988060664721,0.43834416632093065,0.36237495966440586,0.2886594241870123,0.18270409809615895,0.08639150459092754,0.03689362159836628,0.011492541018194842,0.0076061402295683304,0.0020006453694744013,0.0,-0.21309569934133687,6.712243629583581,6.447613143211406,8.693817261025538,8.556375131717587,9.270258803563847,10.465365644434899,14.952019638473546,16.013513513513523,12.393628627536547,10.394342048864136,8.146126390930085,8.442105263157895,8.03271812080537,7.156230497191585,0.029034761363636356,0.029278429144385002,0.037619363524955415,0.05410709081996433,0.03518737871360664,0.052847610325948535,0.03954474994429588,0.03255143050604078,0.029654905637254887,0.023914550579322624,0.011735290411998119,-0.004403789619694045,-0.00925642709583834,-0.006361603067226898,-0.003629351089810936,0,1
2022-03-29,1.0,0.9112310691258082,0.9072324686359747,0.8926375768481035,0.7231369020842712,0.61493477282951,0.5033738191632924,0.42150247413405195,0.3495609869878859,0.2797720797720786,0.18297686718739772,0.09411705902933945,0.04531875382077942,0.017715228241544007,0.009306742640076382,0.0,0.8103415010611625,1.2204571871367698,8.245286927698348,7.976854722050009,10.255328128297103,10.115911485774486,10.840050912176501,12.05232682822217,16.603436732872122,17.680180180180184,14.008291512109983,11.980282897556794,9.69976905311778,10.000000000000009,9.584731543624159,0.048837958333333306,0.03612972979797977,0.03453873852495542,0.04015942415329765,0.053475853461081364,0.037349134135472355,0.05253161736853829,0.04074196291344818,0.034328254122103365,0.03153352027629231,0.026114976919934616,0.014703319354664922,-0.0004949713135254262,-0.005284687511671345,-0.0028190237088585542,0,1
2022-03-30,0.8832740213523104,1.0,0.9686832740213465,0.97580071174377,0.9681138790035543,0.8040332147093701,0.6917132689374669,0.5718861209964394,0.48058521154606276,0.39871886120996153,0.3185376900679439,0.20854092526690382,0.1064878182315901,0.04809354346720929,0.013238434163701532,0.0,-0.1553096486119121,-0.7717538105344368,-0.36807438977140006,6.546509218976593,6.282289729282908,8.525005275374543,8.387776606954688,9.100551548578695,10.29380227321466,14.773488060700736,15.833333333333343,12.219070477852934,10.222888984140589,7.978165022044914,8.273684210526323,0.047467541666666606,0.04743044444444441,0.038251151515151495,0.03655407415329765,0.04090208957219247,0.052210076776164974,0.038257419451871624,0.051652039512774764,0.041129308288770025,0.03526345071706365,0.032623678308823505,0.027538087669683235,0.016839897734093615,0.002512387885154042,-0.0021659310005252234,0,1
