dt,close,sma2,sma3,sma4,sma5,sma6,sma7,sma8,sma9,sma10,sma11,sma12,sma13,sma14,sma15,sma16,roc2,roc3,roc4,roc5,roc6,roc7,roc8,roc9,roc10,roc11,roc12,roc13,roc14,roc15,roc16,long,short
2012-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2012-08-14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2012-08-15,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5736230798051754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2012-08-16,1.0,0.0,0.10416666666668285,0.4843750000000031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41540785498488386,-0.37467216185838037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2012-08-17,0.0,0.9154929577464774,0.4694835680751057,0.6161971830985935,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22839741149600634,-0.5664652567975881,-1.3488197826901582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2012-08-18,0.0,0.0,0.732394366197192,0.4225352112676027,0.5915492957746378,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.977811207220769,0.22839741149600634,-0.5664652567975881,-1.3488197826901582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2012-08-19,0.0,0.0,0.0,0.6408450704225535,0.3943661971830937,0.5751173708920262,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.977811207220769,0.22839741149600634,-0.5664652567975881,-1.3488197826901582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2012-08-20,0.0,0.2836879432624218,0.37825059101655567,0.4255319148936226,0.7489361702127911,0.6619385342789573,0.7700101317122588,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37979491074818794,-0.37979491074818794,-1.3538924407672015,-0.15226494099733756,-0.9441087613293098,-1.7234919445485275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2012-08-21,0.0,0.22784810126583577,0.43037974683545105,0.5316455696202654,0.592405063291146,0.7974683544303712,0.7703435804701841,0.8496835443037964,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8355488036460246,-0.8355488036460246,-0.8355488036460246,-1.8051899210229427,-0.6090597639893391,-1.397280966767378,-2.173098538778573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2012-08-22,0.0,0.3281519861830781,0.5066206102475613,0.6390328151986232,0.7184801381692555,0.7714450201496729,0.873427091043672,0.8808290155440364,0.9268854346574515,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9062142584826525,-2.278769464489172,-2.278769464489172,-2.278769464489172,-3.2342986084994307,-2.0555767034640238,-2.832326283987918,-3.596852753840396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
